8,12,Ζέβρα,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
1,9,Άγριο Γαϊδούρι,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
22,7,Ανακόντα,Ζώνη Γ-Ερπετά,15:00:00,22:00:00
14,23,Λιοντάρι,Ζώνη A-Θηλαστικά,09:00:00,16:00:00
15,19,Λεοπάρδαλη,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
26,45,Χήνα,Ζώνη B-Πτηνά,15:00:00,22:00:00
20,28,Βόας,Ζώνη Γ-Ερπετά,09:00:00,16:00:00
24,30,Κροκόδειλος του Νείλου,Ζώνη Γ-Ερπετά,09:00:00,16:00:00
6,8,Γκρίζος Λύκος,Ζώνη A-Θηλαστικά,09:00:00,16:00:00
12,36,Λεμούριος Κιάττα,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
9,30,Καφέ αρκούδα,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
30,45,Βούκερος ο Υδροκόρακας,Ζώνη B-Πτηνά,09:00:00,16:00:00
5,29,Καμήλα,Ζώνη A-Θηλαστικά,09:00:00,16:00:00
18,24,Χιμπατζής,Ζώνη A-Θηλαστικά,09:00:00,16:00:00
10,17,Κόκκινο Πάντα,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
3,14,Αντιλόπη του Νερού,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
13,30,Λευκός Ρινόκερος,Ζώνη A-Θηλαστικά,09:00:00,16:00:00
29,43,Βασιλικός Γύπας,Ζώνη B-Πτηνά,15:00:00,22:00:00
11,8,Κρι-κρι,Ζώνη A-Θηλαστικά,09:00:00,16:00:00
4,6,Ελέφαντας,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
19,41,Αλιγάτορας,Ζώνη Γ-Ερπετά,09:00:00,16:00:00
27,21,Ασημένιος Φασιανός,Ζώνη B-Πτηνά,09:00:00,16:00:00
2,8,Αλεπού Φέννεκ,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
17,1,Τίγρης,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
16,9,Ιπποπόταμος,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
23,25,Δράκος του Κόμοντο,Ζώνη Γ-Ερπετά,15:00:00,22:00:00
7,48,Καμηλοπάρδαλη,Ζώνη A-Θηλαστικά,15:00:00,22:00:00
21,24,Πύθωνας,Ζώνη Γ-Ερπετά,15:00:00,22:00:00
28,6,Ασπροκέφαλος Γύπας,Ζώνη B-Πτηνά,09:00:00,16:00:00
25,49,Χελώνα,Ζώνη Γ-Ερπετά,09:00:00,16:00:00
