1,913,Μηνιαίος Έλεγχος,2024-05-04,2024-05-16
2,105,Κάταγμα,2023-07-30,2023-08-08
3,437,Εμβολιασμός,2025-01-22,2025-01-26
4,438,Αλλεργική Κρίση,2024-01-02,2024-01-27
5,422,Χειρουργείο,2024-02-12,2024-03-11
6,168,Πυρετός,2023-07-14,2023-07-17
7,186,Στείρωση,2024-02-15,2024-03-15
8,377,Καλαζάρ,2023-09-01,
9,395,Μηνιαίος Έλεγχος,2023-08-20,
10,590,Πυρετός,2024-02-15,2024-03-14
11,869,Κάταγμα,2024-01-17,2024-02-02
12,141,Λύσσα,2023-12-30,2024-01-28
13,60,Λύσσα,2024-06-15,2024-06-23
14,18,Λύσσα,2025-02-01,
15,969,Χειρουργείο,2024-10-30,2024-11-11
16,160,Αλλεργική Κρίση,2024-10-29,2024-11-06
17,779,Πυρετός,2024-10-02,
18,770,Κάταγμα,2024-03-16,2024-04-12
19,414,Χειρουργείο,2024-09-25,2024-10-02
20,848,Χειρουργείο,2023-05-09,2023-05-27
21,9,Εξέταση Οδοντοστοιχίας,2024-10-23,2024-11-21
22,202,Στείρωση,2023-12-01,2023-12-22
23,116,Καλαζάρ,2024-08-28,
24,361,Χειρουργείο,2024-03-10,2024-03-24
25,687,Στείρωση,2025-01-21,
26,251,Στείρωση,2023-03-01,2023-03-21
27,509,Στείρωση,2023-04-28,2023-05-11
28,707,Εμβολιασμός,2024-04-06,2024-05-06
29,549,Αλλεργική Κρίση,2024-08-24,2024-09-07
30,61,Μηνιαίος Έλεγχος,2024-01-14,
31,727,Πυρετός,2024-04-01,2024-04-07
32,210,Λύσσα,2025-01-23,2025-01-31
33,726,Εξέταση Αίματος,2023-09-10,
34,875,Καλαζάρ,2024-07-12,2024-07-21
35,422,Γαστρεντερίτιδα,2023-02-23,2023-02-24
36,166,Μηνιαίος Έλεγχος,2024-07-05,2024-07-06
37,348,Κάταγμα,2024-04-03,
38,352,Καλαζάρ,2023-05-23,2023-06-19
39,880,Εμβολιασμός,2024-06-10,2024-06-25
40,131,Λύσσα,2024-10-26,2024-11-02
41,365,Εξέταση Οδοντοστοιχίας,2024-11-07,2024-11-24
42,894,Πυρετός,2023-08-29,2023-09-06
43,565,Στείρωση,2023-08-17,2023-09-05
44,469,Λύσσα,2025-02-05,2025-02-09
45,975,Πυρετός,2023-07-02,
46,302,Χειρουργείο,2024-11-20,2024-11-29
47,785,Μηνιαίος Έλεγχος,2024-06-08,2024-07-01
48,324,Εμβολιασμός,2023-03-24,2023-04-22
49,616,Εμβολιασμός,2024-10-14,2024-11-02
50,424,Καλαζάρ,2024-12-19,2024-12-30
51,147,Εξέταση Αίματος,2024-10-24,2024-11-23
52,447,Λύσσα,2024-07-10,2024-08-04
53,149,Χειρουργείο,2024-02-24,2024-03-02
54,232,Στείρωση,2023-11-09,2023-12-08
55,997,Καλαζάρ,2023-04-06,2023-04-11
56,591,Αλλεργική Κρίση,2024-06-27,2024-07-10
57,321,Εμβολιασμός,2024-04-18,2024-05-18
