1,Κριθάρι,Φυτοφική Δίαιτα
2,Μανιτάρια,Φυτοφική Δίαιτα
3,Ρετσίνι,Φυτοφική Δίαιτα
4,Μοσχάρι,Σαρκοφαγική Δίαιτα
5,Αγριόχειρους,Σαρκοφαγική Δίαιτα
6,Ψάρια,Σαρκοφαγική Δίαιτα
7,Λαγός,Σαρκοφαγική Δίαιτα
8,Αγριογούρουνο,Σαρκοφαγική Δίαιτα
9,Ελάφι,Σαρκοφαγική Δίαιτα
10,Έντομα,Σαρκοφαγική Δίαιτα
11,Ανθούς,Φυτοφική Δίαιτα
12,Ζαρκάδι,Σαρκοφαγική Δίαιτα
13,Βότανα,Φυτοφική Δίαιτα
14,Καρπούς,Φυτοφική Δίαιτα
15,Γαρίδες,Σαρκοφαγική Δίαιτα
16,Νέκταρ,Φυτοφική Δίαιτα
17,Φλοιό Δέντρων,Φυτοφική Δίαιτα
18,Βατράχια,Σαρκοφαγική Δίαιτα
19,Βρώμη,Φυτοφική Δίαιτα
20,Λουλούδια,Φυτοφική Δίαιτα
21,Τριφύλλι,Φυτοφική Δίαιτα
22,Φρούτα,Φυτοφική Δίαιτα
23,Μούρα,Φυτοφική Δίαιτα
24,Κατσίκι,Σαρκοφαγική Δίαιτα
25,Αυγά,Σαρκοφαγική Δίαιτα
26,Βρύα,Φυτοφική Δίαιτα
27,Βελανίδια,Φυτοφική Δίαιτα
28,Σαλιγκάρια,Σαρκοφαγική Δίαιτα
29,Χόρτα,Φυτοφική Δίαιτα
30,Φύλλα,Φυτοφική Δίαιτα
