1,187,6,Θηλαστικό,Σαρκοφάγο,Γκρίζος Λύκος,Χάιδω,6,40,2023-01-17
2,277,10,Θηλαστικό,Φυτοφάγο,Κόκκινο Πάντα,Αφέντης,10,2,2023-01-12
3,214,21,Ερπετό,Σαρκοφάγο,Πύθωνας,Αίας,8,144,2023-01-21
4,344,2,Θηλαστικό,Παμφάγο,Αλεπού Φέννεκ,Τριανταφυλλιά,10,1,2023-01-12
5,198,13,Θηλαστικό,Φυτοφάγο,Λευκός Ρινόκερος,Λεώνη,4,2386,2023-01-27
6,207,28,Πτηνό,Σαρκοφάγο,Ασπροκέφαλος Γύπας,Άγγελος,6,2,2023-01-16
7,432,1,Θηλαστικό,Φυτοφάγο,Άγριο Γαϊδούρι,Βικέντια,1,118,2023-01-12
8,508,23,Ερπετό,Σαρκοφάγο,Δράκος του Κόμοντο,Νεφέλη,30,130,2023-01-29
9,268,6,Θηλαστικό,Σαρκοφάγο,Γκρίζος Λύκος,Περικλεία,2,20,2023-01-22
10,403,30,Πτηνό,Φυτοφάγο,Βούκερος ο Υδροκόρακας,Μάριος,54,2,2023-01-14
11,481,25,Ερπετό,Φυτοφάγο,Χελώνα,Παναγιώτα,32,36,2023-01-13
12,383,6,Θηλαστικό,Σαρκοφάγο,Γκρίζος Λύκος,Χάιδω,8,24,2023-01-15
13,132,14,Θηλαστικό,Σαρκοφάγο,Λιοντάρι,Χάιδω,6,220,2023-01-31
14,556,24,Ερπετό,Σαρκοφάγο,Κροκόδειλος του Νείλου,Έλλη,11,524,2023-01-21
15,351,3,Θηλαστικό,Φυτοφάγο,Αντιλόπη του Νερού,Κίμων,11,113,2023-01-17
16,29,23,Ερπετό,Σαρκοφάγο,Δράκος του Κόμοντο,Χριστίνα,39,57,2023-01-12
17,131,27,Πτηνό,Παμφάγο,Ασημένιος Φασιανός,Παγώνα,2,1,2023-01-15
18,583,2,Θηλαστικό,Παμφάγο,Αλεπού Φέννεκ,Μαυρούδης,2,1,2023-01-19
19,221,7,Θηλαστικό,Φυτοφάγο,Καμηλοπάρδαλη,Καλυψώ,24,182,2023-01-14
20,501,9,Θηλαστικό,Παμφάγο,Καφέ αρκούδα,Κυράτσα,28,246,2023-01-31
21,598,30,Πτηνό,Φυτοφάγο,Βούκερος ο Υδροκόρακας,Θεόπιστος,49,1,2023-01-25
22,436,20,Ερπετό,Σαρκοφάγο,Βόας,Ερμής,27,13,2023-01-31
23,562,21,Ερπετό,Σαρκοφάγο,Πύθωνας,Ινώ,7,224,2023-01-25
24,16,1,Θηλαστικό,Φυτοφάγο,Άγριο Γαϊδούρι,Κλειώ,7,88,2023-01-15
25,333,12,Θηλαστικό,Φυτοφάγο,Λεμούριος Κιάττα,Καλλιόπη,20,1,2023-01-29
26,511,14,Θηλαστικό,Σαρκοφάγο,Λιοντάρι,Κύρος,13,157,2023-01-30
27,244,28,Πτηνό,Σαρκοφάγο,Ασπροκέφαλος Γύπας,Θεοδοσία,10,4,2023-01-16
28,26,27,Πτηνό,Παμφάγο,Ασημένιος Φασιανός,Ιππολύτη,2,1,2023-01-26
29,431,13,Θηλαστικό,Φυτοφάγο,Λευκός Ρινόκερος,Ταξιαρχία,20,2999,2023-01-19
30,598,25,Ερπετό,Φυτοφάγο,Χελώνα,Φωτεινός,29,16,2023-01-17
31,522,24,Ερπετό,Σαρκοφάγο,Κροκόδειλος του Νείλου,Επιστήμη,50,884,2023-01-12
